日期,操作,收盘价,最低价,反弹比率,最高收盘价,回落%,收益%
2020-01-23,空,28.58,,,,,
2020-02-28,空,26.56,,,,,
2020-03-31,空,25.06,,,,,
2020-04-30,空,27.25,,,,,
2020-05-29,空,26.26,,,,,
2020-06-30,空,26.18,,,,,
2020-07-31,空,27.86,,,,,
2020-08-31,空,30.17,,,,,
2020-09-30,空,28.82,,,,,
2020-10-30,空,31.87,,,,,
2020-11-30,空,35.38,,,,,
2020-12-31,空,35.18,,,,,
2021-01-29,空,40.91,,,,,
2021-02-26,空,40.91,,,,,
2021-03-31,空,40.91,,,,,
2021-04-30,空,42.19,25.06,68.36,,,
2021-05-31,买,46.58,25.06,85.87,46.83,-0.53,10.41
2021-06-30,卖,43.38,25.06,73.1,46.83,-7.37,3.98
2021-07-30,空,38.17,38.17,0.0,,,
2021-08-31,空,40.19,38.17,5.29,,,
2021-09-30,空,41.42,38.17,8.51,,,
2021-10-29,空,44.31,38.17,16.09,,,
2021-11-30,卖,40.63,38.17,6.44,46.24,-12.13,-6.23
2021-12-31,空,39.99,39.99,0.0,,,
2022-01-28,空,40.4,39.99,1.03,,,
2022-02-28,空,40.88,39.99,2.23,,,
2022-03-31,空,38.42,38.42,0.0,,,
2022-04-29,空,32.78,32.78,0.0,,,
2022-05-31,空,32.58,32.58,0.0,,,
2022-06-30,空,34.64,32.58,6.32,,,
2022-07-29,空,30.04,30.04,0.0,,,
2022-08-31,空,30.03,30.03,0.0,,,
2022-09-30,空,28.83,28.83,0.0,,,
2022-10-31,空,22.98,22.98,0.0,,,
2022-11-30,空,29.95,22.98,30.33,,,
2022-12-30,买,31.92,22.98,38.9,46.24,-30.97,3.77
2023-01-31,持,35.31,22.98,53.66,46.24,-23.64,14.79
2023-02-28,卖,31.96,22.98,39.08,46.24,-30.88,9.46
2023-03-31,空,29.36,29.36,0.0,,,
2023-04-28,空,28.79,28.79,0.0,,,
2023-05-31,空,27.67,27.67,0.0,,,
2023-06-30,空,28.07,27.67,1.45,,,
2023-07-31,空,32.15,27.67,16.19,,,
2023-08-31,卖,28.52,27.67,3.07,46.24,-38.32,-6.69
2023-09-28,空,29.81,28.52,4.52,,,
2023-10-31,空,27.81,27.81,0.0,,,
2023-11-30,空,26.03,26.03,0.0,,,
2023-12-29,空,25.15,25.15,0.0,,,
2024-01-31,空,27.76,25.15,10.38,,,
2024-02-29,买,28.97,25.15,15.19,46.24,-37.35,4.47
2024-03-29,卖,29.11,25.15,15.75,46.24,-37.05,0.4
2024-04-30,空,31.02,29.11,6.56,,,
2024-05-31,空,30.99,29.11,6.46,,,
2024-06-28,空,30.91,29.11,6.18,,,
2024-07-31,空,31.37,29.11,7.76,,,
2024-08-30,空,30.82,29.11,5.87,,,
2024-09-30,空,36.05,29.11,23.84,,,
2024-10-31,卖,35.81,29.11,23.02,46.24,-22.56,-10.52
2024-11-29,空,34.83,34.83,0.0,,,
2024-12-31,空,37.67,34.83,8.15,,,
2025-01-27,空,38.96,34.83,11.86,,,
2025-02-28,买,40.31,34.83,15.73,46.24,-12.82,2.94
2025-03-31,卖,41.5,34.83,19.15,46.24,-10.25,4.42
2025-04-30,空,39.05,39.05,0.0,,,
2025-05-30,空,41.63,39.05,6.61,,,
2025-06-30,空,44.04,39.05,12.78,,,
2025-07-31,买,44.48,39.05,13.91,46.24,-3.81,0.98
2025-08-29,卖,42.89,39.05,9.83,46.24,-7.24,-1.7
2025-09-30,空,40.41,40.41,0.0,,,
